date,track,race_time,runner_number,dog_name,race_id,source,race_url
2026-08-19,Harlow,12:46,1,Salems Disaronno,512840,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512840
2026-08-19,Harlow,12:46,2,Glenvale Sasha,512840,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512840
2026-08-19,Harlow,12:46,3,Cofam Spurs,512840,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512840
2026-08-19,Harlow,12:46,5,Pips Rosie,512840,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512840
2026-08-19,Harlow,12:46,6,Miss Margaret,512840,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512840
2026-08-19,Harlow,13:03,1,More Firepower,512841,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512841
2026-08-19,Harlow,13:03,3,No Worries Dave,512841,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512841
2026-08-19,Harlow,13:03,4,Moaning Saliba,512841,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512841
2026-08-19,Harlow,13:03,5,Essjay Tornado,512841,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512841
2026-08-19,Harlow,13:03,6,Moaning Mojito,512841,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512841
2026-08-19,Harlow,13:19,1,Marys Glen,512842,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512842
2026-08-19,Harlow,13:19,2,Townsend Peggy,512842,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512842
2026-08-19,Harlow,13:19,3,Gooner Be Good,512842,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512842
2026-08-19,Harlow,13:19,4,Moaning Gamble,512842,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512842
2026-08-19,Harlow,13:19,6,Salems Mickey,512842,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512842
2026-08-19,Harlow,13:37,1,Lilliput,512843,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512843
2026-08-19,Harlow,13:37,2,Moaning Mccoist,512843,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512843
2026-08-19,Harlow,13:37,3,Lemon Beaufort,512843,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512843
